 ,Questions,Reference Document,Ila Bahrain,Ila Jordan,,,,,,,,,,,,,,,,,,,,,,,
Business Ownership & Commercial Model,,,,,,,,,,,,,,,,,,,,,,,,,,,
,What is your standard commercial and revenue-sharing model?,,"Our commercial model is designed to be simple, transparent, and aligned with partner growth.  It typically includes a one-time integration fee and an ongoing relationship management fee, followed by a monthly platform fee that covers the full stack of services. We do not charge separately for custody, compliance, or core operational components—these are included as part of the platform offering.  In addition,  partners earn a fee on customer activity through a transaction spread. This ensures commercial alignment, as revenues scale with customer adoption and usage.  Overall, this structure is highly competitive compared to traditional exchanges, which often charge 4–5% in fees to the retail customer. Our approach provides predictable costs for the bank while maximising long-term revenue potential.",,,,,,,,,,,,,,,,,,,,,,,,
,How do you support bank-branded propositions (white-label vs co-brand)?,,"Our solution is fully white-label by default, enabling banks to offer digital asset products entirely under their own brand and maintain full ownership of the customer relationship.  Where regulatory or disclosure requirements require partner visibility, we support co-branding, implemented in a controlled and compliant manner. This ensures transparency for regulators while keeping the bank-led brand experience intact.",,,,,,,,,,,,,,,,,,,,,,,,
,"Can we design differentiated propositions by customer segment (mass, affluent, HNW)?",,"Yes — absolutely.  We can design differentiated propositions by customer segment (mass, affluent, HNW) across the broader product. Through capabilities like price segmentation, client-specific recommended portfolios, and tailored workflows, banks can offer distinct experiences per segment. Our modular APIs fully support this level of customization while remaining compliant with regulatory requirements. ",,,,,,,,,,,,,,,,,,,,,,,,
,What levers do we control vs what is fixed by your platform?,,"Spreads and markups are ultimately in the control of Fuze as Fuze is the regulated entity charging customers for a regulated service. While the bank may not have direct control, it can work with Fuze to offer differentiated pricing or change pricing. Changes once requests can be affected as fast as one business day.S",,,,,,,,,,,,,,,,,,,,,,,,
,"How do you support AUM growth, trading velocity, and cross-sell?",,"We support AUM growth and trading velocity by starting with core trading in a closed-loop model, encouraging customers to consolidate assets within the bank’s ecosystem. As the partnership matures, we can progressively expand into open-loop capabilities, additional order types, and advanced trading functionality to increase engagement.  Cross-sell follows a phased roadmap jointly driven by Fuze and the bank — moving from spot trading to staking, yield products, and stablecoin-based infrastructure — positioning the bank as the primary platform for digitally native customers and SMEs. ",,,,,,,,,,,,,,,,,,,,,,,,
,What KPIs do you actively track with partner banks?,,- User activation rates - Activation to first order - Order success rates - User retention and churn - AUM. - Our APIs also allow the bank to monitor and track these KPIs on their own data management system ,,,,,,,,,,,,,,,,,,,,,,,,
,Can you share benchmarks from similar digital banks you work with?,,"Yes we can share benchmarks, but cognizant of the fact that these numbers are quite sensitive, we want to understand what kind of benchmarks you require",,,,,,,,,,,,,,,,,,,,,,,,
"Regulatory, Compliance & Governance",,,,,,,,,,,,,,,,,,,,,,,,,,,
,In which jurisdictions are you currently regulated and licensed?,Presentation,"We are licensed across UAE, Canada, sandbox approval in Jordan and operational approval for Turkey. We also have  upcoming other jurisduction in MEA and beyond",,,,,,,,,,,,,,,,,,,,,,,,
,What is your experience working with central banks and regulators?,Presentation,"We have an active and growing track record of engagement with central banks and regulators across the region, supported by a dedicated Regulatory Affairs function.  We have recently established a Regulatory Affairs Office, led by Serena Sebastiani, which proactively engages with regulators including VARA, CBUAE, SCA, CBB, CBJ, SAMA, and (higher Shariah Authoirty) HSA. This team works closely with regulatory stakeholders to understand and help scope evolving policies, including those impacting digital assets and the use of emerging technologies such as AI within regulated financial services.  The Regulatory Affairs Office brings a cumulative 30+ years of experience working with governments, regulators, and central banks across regulatory policy, supervision support, and market infrastructure initiatives. This enables us to engage constructively, anticipate regulatory direction, and ensure our platform and partner implementations remain aligned with supervisory expectations.  This proactive approach allows us to support partner banks not only in meeting current regulatory requirements, but also in preparing for future regulatory developments in a structured and informed manner.",,,,,,,,,,,,,,,,,,,,,,,,
,How do you support KYC / AML?,,"We follow a KYC reliance model with partner banks, whereby the KYC already collected by the bank is leveraged within our platform to enable seamless onboarding for most customers.  During integration, we conduct a detailed gap analysis with the bank to identify any additional KYC documentation, data fields, or compliance checks required for digital asset trading. Where needed, we work closely with the bank to solutionize and implement these requirements.  We also support enhanced due diligence (EDD), risk scoring, and investor/customer classification controls, with risk attributes and segmentation passed into the platform and enforced through eligibility rules, disclosures, and configurable onboarding workflows ensuring alignment with both internal bank policy and local regulatory expectations.",,,,,,,,,,,,,,,,,,,,,,,,
,How do you support suitability & appropriateness tests?,,"Currently, there are no suitability or appropriateness tests mandated by our regulator for digital asset trading. As a result, such criteria are not enforced by default at the platform level.  However, given the white-labelled and configurable nature of our solution, banks have full flexibility to implement suitability assessments, risk profiling, or customer questionnaires within the onboarding and trading journey, based on their internal policies and regulatory interpretations.  We support the integration of these checks into the customer flow—such as knowledge assessments, risk disclosures, and product eligibility rules—ensuring the bank can apply its own suitability framework while leveraging our underlying trading and custody infrastructure.",,,,,,,,,,,,,,,,,,,,,,,,
,How do you support risk profiling?,,,,,,,,,,,,,,,,,,,,,,,,,,
,How do you support investor classification?,,"Currently, there are no suitability or appropriateness tests mandated by our regulator for digital asset trading. As a result, such criteria are not enforced by default at the platform level.  However, given the white-labelled and configurable nature of our solution, banks have full flexibility to implement suitability assessments, risk profiling, or customer questionnaires within the onboarding and trading journey, based on their internal policies and regulatory interpretations.  We support the integration of these checks into the customer flow—such as knowledge assessments, risk disclosures, and product eligibility rules—ensuring the bank can apply its own suitability framework while leveraging our underlying trading and custody infrastructure.",,,,,,,,,,,,,,,,,,,,,,,,
,Can regulatory rules be configured per market (e.g. Bahrain-CBB / Jordan-CBJ)?,,"Yes our infrastructure is built to be highly modular and configurable by market. When entering a new jurisdiction, we ensure the full stack is aligned with local regulatory requirements, including trade flows, fiat rails, on-chain rails, Travel Rule compliance, and KYC controls.  This modularity allows partner banks to configure supported tokens, commercial terms, and country-specific KYC fields based on internal policy and the applicable regulator (e.g., CBB, CBJ). ",,,,,,,,,,,,,,,,,,,,,,,,
,Who holds custody of assets?,,"Fuze hold custody of assests. The platform maintains comprehensive custodial records alongside detailed order execution data. It is fully capable of performing reconciliation between execution data and custodial records to ensure consistency, accuracy, and integrity of transaction flows.",,,,,,,,,,,,,,,,,,,,,,,,
,How is segregation of client assets handled?,,All the bank's customers' assets are held in segregated hot and cold wallets. These wallet addresses are known to the bank via the Proof of Reserves section in Fuze's back-office application (FuzeOS). Therefore holdings can be verified at any point independently on the blockchain.,,,,,,,,,,,,,,,,,,,,,,,,
,"What audit, reporting, and regulatory MIS do you provide?",,"Nishant Kumar, Anoop Krishnan",,,,,,,,,,,,,,,,,,,,,,,,
,Have you supported regulatory inspections or audits for partner banks?,Nishant,"Yes. We have established a dedicated Fuze Advisory function that supports partner banks across regulatory inspections, internal audits, and assurance activities related to digital asset offerings.  This advisory capability brings together professionals with long-standing experience working with regulators, central banks, and supervisory authorities, including hands-on involvement in regulatory inspections and audit processes. The team supports partners with regulatory readiness, documentation, control frameworks, and inspection responses.  Fuze Advisory is now embedded within our overall product and services portfolio, ensuring that regulatory and audit considerations are addressed not as an afterthought, but as an integral part of solution design, implementation, and ongoing operations. This allows partner banks to approach regulatory engagements with greater confidence and preparedness.",,,,,,,,,,,,,,,,,,,,,,,,
"Technology, Architecture & Integration",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Describe your platform architecture (modular, microservices, APIs).",Presentation,"Fuze's platform is built on a modern, flexible architecture designed for scalability and reliability. Microservices Architecture: Fuze utilizes a microservices-based architecture with a modular approach for flexibility. Each microservice is designed to handle specific functions, enabling efficient scaling based on demand without impacting other parts of the system. The infrastructure is modular and scalable, allowing seamless integration, flexibility, and cost-efficient upgrades without the need to rebuild systems. Event-Driven Architecture: The platform incorporates an event-based PubSub (Publish-Subscribe) mechanism that allows for both horizontal and vertical scaling. This architecture enables real-time event-driven communication between services, decoupling components so transactions can be processed independently and in parallel, which helps maintain performance even as transaction volumes increase. All consumers are stateless with state stored in persistent databases, eliminating the need for ZooKeeper or equivalent state management tools. API Infrastructure: Fuze provides robust APIs designed for seamless integration with third-party systems, including government and financial institution systems. The tech stack includes REST APIs and WebSockets for real-time communication and trading. Cloud Infrastructure: The platform is built on AWS cloud infrastructure in the UAE me-central region, offering elastic scaling where computing power and storage can be dynamically adjusted based on transaction volume. Load balancing is implemented across multiple Availability Zones to ensure traffic is distributed evenly across the system. Database Layer: The architecture utilizes high-performance databases including PostgreSQL for transactional data, DynamoDB for high-availability document storage, and Influx for efficient time-series data management, with database sharding and replication techniques to handle increasing data volumes.",,,,,,,,,,,,,,,,,,,,,,,,
,"What integration model do you support (API-first, SDK, hosted UI)?",Presentation,"Fuze supports an API-first integration model. The platform provides robust APIs designed for seamless integration with third-party systems, including government and financial institution systems. The tech stack includes REST APIs and WebSockets for real-time communication and trading. Fuze offers comprehensive API documentation including API integration guides and walkthroughs for technical teams, along with detailed technical documentation to support integration efforts. The APIs are built with flexibility and security in mind, enabling clients to integrate Fuze's services into their existing systems.",,,,,,,,,,,,,,,,,,,,,,,,
,Typical timelines for MVP launch?,Presentation,3 months,,,,,,,,,,,,,,,,,,,,,,,,
,Typical timelines for full product rollout?,Presentation,6 months,,,,,,,,,,,,,,,,,,,,,,,,
,How do you handle peak volumes and scalability?,Presentation,"Fuze handles peak volumes and scalability through a comprehensive, multi-layered approach built on modern cloud architecture.  Performance Capacity: Fuze's platform can process 1,000 orders per second with current infrastructure not fully enabled. The system has demonstrated capability to handle peak loads of 20 million requests per week with average p90 latencies of 500ms, and has maintained over 99.99% uptime in 2024.  Elastic and Horizontal Scaling: The infrastructure is built on AWS cloud platforms offering elastic scaling, where computing power and storage dynamically adjust based on transaction volume. Since the architecture is horizontally scalable, whenever there are more than 500 orders pending, the system automatically spins up additional instances to handle the load, ensuring performance remains optimal during high-demand periods.  Microservices Architecture: The microservices-based design allows individual components to scale independently based on specific demand without impacting other parts of the system. Each microservice handles specific functions, enabling efficient targeted scaling.  Event-Driven Architecture: The event-based PubSub mechanism enables real-time event-driven communication between services, allowing transactions to be processed independently and in parallel. All consumers are stateless with state stored in persistent databases, enabling seamless horizontal scaling without complex state management.  Load Balancing: Load balancing is implemented across multiple Availability Zones in AWS, ensuring traffic is distributed evenly across the system so no single node or resource becomes overwhelmed.  Database Optimization: Database sharding and replication techniques distribute data across multiple servers and locations, allowing faster access and minimizing bottlenecks. Caching mechanisms at various levels store frequently accessed data, reducing database load and improving response times.  Automated Monitoring: The platform continuously monitors system performance and resource utilization using automated tools, identifying potential bottlenecks and scaling resources in real-time to meet increasing transaction volumes.",,,,,,,,,,,,,,,,,,,,,,,,
,"What are your SLAs (uptime, latency, incident response)?",Presentation,"Fuze offers clearly defined Service Level Agreements with the following commitments: Platform Availability:  Monthly Uptime Commitment: 99.5% Planned Downtime: Not exceeding 4 hours per month, announced at least three business days in advance Service Credits: Between 99.0% - 99.5% uptime results in credit equivalent to 10% of monthly fees; Less than 99.0% uptime results in credit equivalent to 20% of monthly fees Historical Performance: The platform has achieved over 99.99% uptime in 2024  Latency Performance: The platform has demonstrated average p90 latencies of 500ms while handling peak loads of 20 million requests per week. Incident Response Times: Incident severity levels and resolution commitments are structured as follows: Severity 1 (Critical) - Complete outage or severe performance degradation affecting all users: Immediate response with resolution within 2 hours and Root Cause Analysis (RCA) provided within 72 hours. Severity 2 (High) - Significant impact affecting a large proportion of users: Immediate continuous effort with resolution within 6 hours and RCA provided within 72 hours. Severity 3 (Medium) - Business-critical functions impaired for a limited user group with available workarounds: Resolution included in regular software release cycles. Severity 4 (Low) - Minor or cosmetic issues with minimal operational impact: Resolution addressed via regular development cycles or configuration adjustments.",,,,,,,,,,,,,,,,,,,,,,,,
,Describe your data ownership and data residency model.,,"Yes, customer data can be securely stored, processed, and transferred in compliance with Bahrain’s PDPL requirements. Fuze leverages AWS infrastructure, with AWS S3 availability in Bahrain, ensuring data residency and adherence to local regulations. All data is protected with strong encryption, secure access controls, and monitoring to maintain the highest levels of security and compliance.",,,,,,,,,,,,,,,,,,,,,,,,
,How do you support disaster recovery and business continuity?,,"Yes, the Fuze platform fully complies with the Central Bank of Bahrain’s (CBB) Cybersecurity Risk Management requirements. Fuze maintains a robust cybersecurity governance framework aligned with CBB, ISO 27001, and NIST standards to ensure data integrity, confidentiality, and availability.  Key features and controls include:  Penetration Testing: Regular third-party penetration and vulnerability assessments conducted at least annually, with remediation tracking.  Continuous Monitoring: 24/7 system monitoring with automated alerts for security events, access anomalies, and configuration changes.  Business Continuity & Disaster Recovery: Documented and tested BCP/DR plans to ensure operational resilience and data recovery in case of disruption.  Incident Reporting Framework: Defined procedures for security incident detection, escalation, and reporting to regulators within prescribed timelines.  Access & Control Assessments: Periodic review of access rights, segregation of duties, and control effectiveness to maintain compliance.  Through these measures, Fuze ensures compliance with CBB’s cybersecurity guidelines and maintains a secure and resilient operating environment.",,,,,,,,,,,,,,,,,,,,,,,,
,Can we run sandbox / UAT environments independently?,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Customer Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"How are complaints, disputes, and errors handled?",Nishant,"Yes, Fuze has a documented and structured mechanism for handling customer grievances. Our grievance redressal process is designed to ensure that all customer concerns are acknowledged, investigated, and resolved in a timely and transparent manner. Key components include:  Dedicated Support Channels: Customers can raise concerns through email, phone, or our in-app support system. Each grievance is logged and tracked through a centralized case management system.  Acknowledgement and Response SLAs: Grievances are acknowledged within 24 hours, with resolution timelines governed by pre-defined service level agreements (SLAs) based on severity and complexity.  Escalation Matrix: An escalation framework is in place to ensure unresolved issues are promptly addressed by senior management.  Root Cause Analysis and Continuous Improvement: We conduct root cause analysis for critical complaints and integrate findings into our product and process improvement cycles.  Regulatory Compliance: Our grievance mechanism complies with the guidelines issued by regulatory authorities such as VARA and ensures customer protection in line with industry best practices.  This structured approach helps us maintain a high standard of customer satisfaction and accountability.",,,,,,,,,,,,,,,,,,,,,,,,
,"Operations, Support & Post-Go-Live Model",,"Post-Launch Support Services: Fuze provides comprehensive post-launch support to ensure seamless operation and continued success. Our support services are designed to meet the needs of our clients with efficiency, flexibility, and reliability. The services include: 24/7 Support Availability: We offer round-the-clock support to assist clients with any operational issues, questions, or concerns. Our support team is available at all times to handle urgent matters and ensure smooth platform functioning.  Support Channels: Clients can reach us through various communication channels:  Email Support: For detailed inquiries and technical assistance.  Phone Support: Direct access to our support agents for real-time assistance.  Dedicated Account Manager: For enterprise clients, we provide a dedicated account manager who serves as a single point of contact for escalations and support needs.   Defined SLAs: We have set resolution SLAs to ensure timely responses to client issues: L1: Response and resolution within 24 hours. L2: Response and resolution within 5 days. L3: Immediate investigation upon escalation, with updates provided every 4 hours until resolution. Knowledge Base and Documentation: Fuze provides clients access to a comprehensive knowledge base, which includes FAQs, guides, troubleshooting tips, and best practices for platform usage. This resource helps clients self-serve for common issues and questions. Training and Onboarding Support: Following the launch, we continue to support clients with additional training sessions tailored to specific platform features, security protocols, and troubleshooting methods. Training ensures that client teams are equipped to use the platform effectively. System Health Monitoring: Fuze conducts regular health checks and monitoring to proactively detect and resolve any issues before they affect clients. These checks include system performance reviews, optimization suggestions, and software updates to maintain optimal functionality.   Escalation Process: In the event of unresolved issues, Fuze provides a structured escalation process. Issues are promptly escalated to senior technical staff or engineering teams as needed, ensuring fast resolution. These post-launch support services ensure that Fuze clients receive reliable assistance, have access to all necessary resources, and maintain continuous platform uptime and performance.",,,,,,,,,,,,,,,,,,,,,,,,
,What operating model do you propose post-launch?,Anoop,,,,,,,,,,,,,,,,,,,,,,,,,
,"What support is provided (L1, L2, L3)?",,"i. L1 (Low Severity) L1 issues involve minor inquiries or non-critical queries that can be addressed quickly by our front-line support team. These issues have minimal impact on operations. Examples of L1 issues include: ● General account queries: Eg. How do I pull the settlement report? ● Feedback Eg. FuzeOS could be more usable on mobile ● Trading functionality Eg. What tokens are provided on the platform  ii. L2 (Medium Severity) L2 issues encompass problems that require a more urgent intervention, thanks to it potentially affecting day to day operations. These issues should be addressed within a reasonable time frame. Examples of L2 issues include: ● Data requests ● Clarification on T&Cs, pricing etc.  iii. L3 (High Severity) L3 issues are critical, and can involve specific end-customers as well. Examples of L3 issues include: ● Disputes around trades made ● Fraud claims ● Other serious escalations by customers",,,,,,,,,,,,,,,,,,,,,,,,
,What is your incident and escalation framework?,,,,,,,,,,,,,,,,,,,,,,,,,,
,Do you provide a dedicated account/product manager?,,"Yes. Each bank partnership is assigned a dedicated business account manager & a tech implementation manager, both own the overall relationship and serves as the primary point of contact. The account manager is supported by a cross-functional team comprising product, operations and compliance, ensuring comprehensive coverage across commercial, operational, and regulatory dimensions.. We also have the regulatory affairs stakeholders who liase with the bank to keep them updated",,,,,,,,,,,,,,,,,,,,,,,,
,How do you handle ongoing enhancements and change requests?,,"  * All enhancements and change requests follow a formal change management process * Client change requests are raised using a standard change request template * Each request is scoped, sized, and costed before approval * Tech team provides effort estimates, with backend work quantified in man-hours * Cost and timelines are shared with the client for approval * Client approval is required before work begins * Some clients may require additional IT approvals or contract amendments * Small or quick changes may be accommodated flexibly if beneficial * Early work can begin with email approval while formal approvals are completed * Final execution approach depends on change complexity and client alignment . ",,,,,,,,,,,,,,,,,,,,,,,,
,What is your average turnaround time for fixes or enhancements?,,The Average TAT depends on complexity and severity in case of enhancements. For fixes - we have defined SLAs ,,,,,,,,,,,,,,,,,,,,,,,,
"Vendor Stability, Track Record & Roadmap",,,,,,,,,,,,,,,,,,,,,,,,,,,
,How long have you been operating this platform?,Presentation,3 years,,,,,,,,,,,,,,,,,,,,,,,,
,Number of active institutional / bank partners by region?,Presentation,"Wio, ADCB, Ruya : UAE",,,,,,,,,,,,,,,,,,,,,,,,
,Can you share live reference implementations?,Presentation,"""Wio Securities:  Fuze was the first company to go live with Wio Securities to launch the Digital Asset Trading Platform in full alignement with VARA, CB, and SCA. Fuze and Wio. 1 out of 4 customers signing up on Wio, does so to access virtual asset trading through Fuze. Despite volatile markets, customers have continued to onboard and trade and volume on only the Wio platform is greater than all local exchanges combined. Wio executives have expressed enthusiasm for Fuze both in private and on public channels, and we continue to develop addtional features for Wio and other partners.    Ruya Bank: In Q1, Fuze became the digital asset infrastructure partner for Ruya, one of the world’s largest Islamic banks-powering Sharia-compliant Bitcoin trading. This is a global first: Ruya is now the first Islamic bank in the world to offer its customers access to virtual assets like Bitcoin - directly from within its own banking app-while adhering to Islamic finance principles and Fuze is the only firm globally to offer such a product. We worked hand in hand with Ruya to secure approvals from the central bank and HSA",,,,,,,,,,,,,,,,,,,,,,,,
,What is your financial and ownership structure?,Ronit,"Fuze is backed by an investment arm of a UAE sovereign wealth fund. The company has demonstrated strong financial discipline and has been EBITDA-positive since Month 7 of Year 1, with continued EBITDA profitability thereafter.  From a funding perspective, Fuze raised a USD 10 million Seed round, followed by a USD 12 million Series A round in 2025, led by Galaxy Digital.",,,,,,,,,,,,,,,,,,,,,,,,
Exit Strategy & Risk Mitigation,What is your 3-year product roadmap?,,,,,,,,,,,,,,,,,,,,,,,,,,
,How do you ensure roadmap alignment with strategic partners?,,"We ensure roadmap alignment through a structured, partner-driven governance model where strategic partners play an active role in shaping our product direction.  A significant part of our roadmap is influenced by partner priorities and market requirements. We conduct regular Quarterly Business Reviews (QBRs) to review performance, share our product roadmap, and gather structured feedback. This input is then assessed and incorporated into roadmap planning based on strategic relevance, regulatory feasibility, and customer impact.  In addition to QBRs, we maintain ongoing working-level engagement with partner teams, allowing us to continuously refine priorities as market conditions evolve. This approach ensures our roadmap remains aligned with partner objectives while still maintaining a scalable, future-ready product vision.",,,,,,,,,,,,,,,,,,,,,,,,
,"What happens in case of acquisition, merger, or exit?",,"As a regulated entity, any change in ownership must be notified to our regulator, and extra steps must be taken to ensure the process is transparent and planned.   Any change in ownership doesn't affect client assets held with Fuze, since the title of the assets are of the clients' - rendering them ring-fenced and bankruptcy remote.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,What is the exit and data portability model?,,"Fuze can provide all historic data - which are available via API on day 1. Fuze is also custody-agnostic, which means banks can bring their own custodians, or act as custodians themselves once the necessary licenses are in palce.",,,,,,,,,,,,,,,,,,,,,,,,
,How easily can we migrate customers and assets if needed?,,,,,,,,,,,,,,,,,,,,,,,,,,
,Are there lock-in clauses or minimum volume commitments?,,We dont have lock-in or minimum volume commitments,,,,,,,,,,,,,,,,,,,,,,,,
,What happens to customers in case of service termination?,,"All customer assets remain the property of the end clients at all times. In the event of service termination, Fuze will facilitate an orderly wind-down, including asset transfers and account closures, strictly based on explicit instructions and consent provided by clients (or the partner bank, as applicable).  The structure is bankruptcy-remote: customer assets are segregated and held separately from Fuze’s balance sheet. Accordingly, even in the unlikely event of Fuze’s insolvency, customer assets would remain ring-fenced and accessible. The partner bank would be able to liquidate the digital assets, where required, and return funds to customers through the bank’s channels.  In addition, wallets and asset holdings are maintained with institutional-grade custody arrangements and are fully insured (where applicable). As a result, there is no credit or insolvency risk to customer assets arising from Fuze.",,,,,,,,,,,,,,,,,,,,,,,,
,What IP remains with the bank vs the vendor?,,"All front-end/application/client facing assets is the IP of the bank given the white-labelled nature of the product, we just act as the back end infrastructure that orchestrates the trading",,,,,,,,,,,,,,,,,,,,,,,,
Differentiation & Strategic Value,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Why should ila choose you over competitors?,,"ILA should choose us for our proven first-mover execution, unmatched regulatory coverage, and continuous product innovation.  We were the first in the region to launch crypto trading with a UAE digital bank and the first to introduce a Shariah-compliant digital asset trading platform, demonstrating our ability to deliver regulated, bank-grade solutions at scale.  We are also the only firm with active licensing across five countries, Including a sandbox approval in Jordan  Innovation is core to our offering. We are already integrating AI into our products to enhance risk management, compliance, and customer experience—ensuring ILA benefits not just from today’s capabilities, but from a platform built for long-term leadership.  Beyond technology, we bring deep strategic expertise in designing digital asset businesses for regulated banks via our advisory arm. We work closely with partners to define their digital asset strategy end-to-end—from identifying the right customer use cases and product sequencing, to aligning with regulatory expectations and long-term commercial objectives.  Lastly and most importantly, we are a B2B infrastructure and hence will never compete with the bank as opposed to exchanges",,,,,,,,,,,,,,,,,,,,,,,,
,What unique capabilities do you bring to a digital-first bank?,,"We bring a combination of regulated digital asset infrastructure, strategic advisory, and rapid product execution that is uniquely suited to digital-first banks.  Our platform enables banks to launch bank-grade digital asset products—starting with trading and extending to cards, rewards, yield, and lending—within a compliant and scalable framework. Having delivered multiple first-of-their-kind launches in the region, including Shariah-compliant trading, we understand how to operate at the intersection of innovation, regulation, and customer trust.  Beyond technology, we act as a strategic partner to digital-first banks. We work closely with teams to design their digital asset strategy, define product sequencing, and align offerings with regulatory expectations and customer needs. This ensures digital assets are embedded into the bank’s broader proposition rather than operating as a standalone feature.  Finally, our API-first, modular architecture and multi-jurisdiction licensing experience allow digital-first banks to move faster, scale regionally, and continuously innovate—without compromising on governance, security, or customer experience.",,,,,,,,,,,,,,,,,,,,,,,,
,How do you future-proof the platform?,,"Product innovation is a core pillar of our platform, and it is closely guided by the needs and priorities of our strategic partners. Our roadmap is not developed in isolation, it is actively shaped by ongoing collaboration with partners to ensure relevance, regulatory alignment, and real customer value. The products are built in a modularised fashion enabling easy implementation  We engage partners through structured governance forums, including regular roadmap reviews and QBRs, where we share upcoming initiatives, gather feedback, and align on priorities. This feedback is systematically evaluated and incorporated into our product roadmap, ensuring that innovation is driven by real-world use cases rather than theoretical capabilities.",,,,,,,,,,,,,,,,,,,,,,,,
,What innovation have you delivered to partners in the last 12 months?,,"Over the past 12 months, we have delivered multiple production-grade innovations in close collaboration with regulated partners.  A key milestone was the design and launch of a fully Shariah-compliant digital asset trading offering, covering product structuring, Shariah governance alignment, and regulatory execution.   From a trading capability perspective, we introduced advanced trading features, including limit orders and enhanced execution controls, allowing partners to offer more sophisticated trading experiences aligned with active and professional customer segments. We have also expanded vault-based trading capabilities, simplifying asset management and improving usability for retail users.  In parallel, we delivered open-loop capabilities, including integration with Travel Rule (TR) requirements, enabling compliant asset transfers across external counterparties and ecosystems.  Additionally, we launched a payments infrastructure stack for banks and platforms leveraging stablecoin rails for cross-border fund movements. This enables faster settlement, improved liquidity management, and cost-efficient  transfers ",,,,,,,,,,,,,,,,,,,,,,,,
,How do you see this partnership evolving beyond phase one?,,"We view this partnership as a long-term platform collaboration, with trading as the entry point and multiple value-adding products layered over time.  Phase One will focus on launching digital asset trading as the foundational product. This establishes customer adoption, regulatory alignment, and operational readiness while delivering immediate value to the bank’s customers.  Beyond this, we will work closely with the bank to progressively expand the product suite. The next step would be crypto-linked cards, enabling customers to seamlessly spend and use their digital assets in everyday life, effectively bridging digital assets with mainstream payments.  Subsequent phases would introduce yield-generating products and staking, allowing customers to earn on their digital asset holdings in a compliant and transparent manner. Over time, this can further evolve into digital asset–backed lending, unlocking liquidity while keeping customers within the bank’s ecosystem.  Through this phased approach, the partnership evolves from a single product launch into a comprehensive digital asset offering, driving higher engagement, new revenue streams, and long-term customer stickiness for the bank.",,,,,,,,,,,,,,,,,,,,,,,,
